source_row_no,sequence_no,field_name,laboratory_name,service_name,row_type,acceptance_criteria,equipment_model,calibration_raw,calibration_status,pic_name
13,1,MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,Scanning Electron Microscope (SEM/EDX),service,"20mm x 20mm x 5mm solid sample, powder, dry sample",Hitachi SU1510,YES,valid,Nooriskandar bin Sani
14,2,MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,X-Ray Diffraction (XRD),service,"20mm x 20mm x 5mm solid sample, powder",Bruker D8 Advance,YES,valid,Nooriskandar bin Sani
15,3,MATERIALS CHARACTERIZATION,Makmal Pencirian Bahan,Microscopy Examination,service,,Nikon & Olympus,Expired,expired,Nooriskandar bin Sani
16,4,MATERIALS CHARACTERIZATION,Makmal Sains Bahan,Sectioning for Metalography,service,,METKON METACUT 302,No,unknown,Anuar bin Ismail
17,5,MATERIALS CHARACTERIZATION,Makmal Sains Bahan,Mounting for Metalography,service,1) Only for samples that are solid and strong with: / - heat-resistant above 180°C and / - pressure-resistant above 300 kg/cm2 (> 294.2 bar). / 2) Maximum sample size: / - Cubic specimen: 15 mm (L) × 15 mm (W) × 13 mm (H) / - Cuboid specimen: 25 mm (L) × 10 mm (W) × 13 mm (H) / - Cylindrical specimen: 25 mm (Dia) × 13 mm (H),METKON ECOPRESS 52,No,unknown,Anuar bin Ismail
18,6,MATERIALS CHARACTERIZATION,Makmal Sains Bahan,Grindng for Metalography,service,Use mounted specimens not exceeding 30 mm in diameter,BUEHLER SIMPLIMET,No,unknown,Anuar bin Ismail
19,7,MATERIALS CHARACTERIZATION,Makmal Sains Bahan,Polishing for Metalography,service,Use mounted specimens not exceeding 30 mm in diameter,METKON FORCIPOL / BUEHLER,No,unknown,Anuar bin Ismail
20,8,MATERIALS CHARACTERIZATION,Makmal Sains Bahan,Metalography Examination,service,"Only specimens that have been etched are allowed. / Available magnification: 50x, 100x, 200x, and 1000x / Specimens must be flate",,No,unknown,Anuar bin Ismail
21,9,MATERIALS CHARACTERIZATION,Makmal Seramik,Simoutelneous Thermal Analysis,service,"Heating rate 5 and 10 °C/min, Temp. range: RT- 1550 deg. C",Linseis / STA 1600,Expired,expired,Fazlannuddin Hanur bin Harith
22,10,MATERIALS CHARACTERIZATION,Makmal Seramik,Density Kit,service,"Solid sample 10mm x 10mm, Immersing sample in fluid",Mettler Toledo / XS64,Expired,expired,Fazlannuddin Hanur bin Harith
23,11,MATERIALS CHARACTERIZATION,Makmal Seramik,Fourier Transform Infra Red (FTIR),service,Using ATR system/ (Spectrum range 4000-600/cm),Perkin Elmer / Spectrum 100,Expired,expired,Fazlannuddin Hanur bin Harith
24,12,MECHANICAL MATERIAL TESTING,Makmal Pencirian Bahan,Rockwell Hardness Tester,service,Max Load,Instron Wilson,Expired,expired,Nooriskandar bin Sani
25,13,MECHANICAL MATERIAL TESTING,Makmal Pencirian Bahan,Vickers Hardness Tester,service,50kg Max Load,Buehler,Expired,expired,Nooriskandar bin Sani
26,14,MECHANICAL MATERIAL TESTING,Makmal Seramik,Micro Hardness Test,service,0.019 kN Max Load,HMV-2TE,Expired,expired,Fazlannuddin Hanur bin Harith
27,15,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Fracture Test,service,"100kN Max load, Max 62.5mm x 25mm x 60 mm specimen (LxWxH), 37.5mm PCD and  Ø12.5mm for Dowel Pin Holes, **Samples quantity subject to Testing Standard.",,,unknown,Mohd Yusof bin Mohd Sahil
28,16,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Fatigue Test,service,"12mm Max thickness, 100kN Max load, **Samples quantity subject to Testing Standard.",,,unknown,Mohd Yusof bin Mohd Sahil
29,17,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Tensile Test,service,"12mm Max thickness, 100kN Max load",,,unknown,Mohd Yusof bin Mohd Sahil
30,18,MECHANICAL MATERIAL TESTING,Makmal Pengujian Mekanik,Compression Test,service,100kN max Load,,,unknown,Mohd Yusof bin Mohd Sahil
31,19,MECHANICAL MATERIAL TESTING,Makmal Polimer,Tensile Test,service,"10mm max thickness ,  10kN Max load",Instron,Yes,valid,Mohamad Shahrulelmi bin Mohd Rodzi
32,20,MECHANICAL MATERIAL TESTING,Makmal Polimer,Compression Test,service,"100 mm diameter , 10kN Max load",,,unknown,Mohamad Shahrulelmi bin Mohd Rodzi
33,21,MECHANICAL MATERIAL TESTING,Makmal Polimer,Flexural Test,service,"100mm lower support , 10kN Max load",,,unknown,Mohamad Shahrulelmi bin Mohd Rodzi
